"REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","DAY","WT06","AGE","SEX","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","RACE4","sp_race4"
"West","$100,000 to $149,999",3,"Owned by household member","Yes","House, apartment, flat",1,12,2,"Saturday",3793061.031715,51,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1153.84,"Spouse present",52,"Male","College degree +","Employed - at work",60,1384.61,"No difficulty","No",30,0,15,0,75,265,285,645,125,0,0,"White","White"
"South","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",11240603.647086,65,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",61,"Female","College degree +","Employed - at work",10,23.07,"No difficulty","No",0,0,0,0,210,210,540,480,0,0,0,"White","White"
"Midwest","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",3095022.902947,73,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",72,"Male","College degree +","Retired",NA,NA,"No difficulty","No",0,0,10,0,103,242,360,600,90,0,0,"White","White"
"South","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",12496799.597256,67,"Male","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Female","College degree +","Unable to work",NA,NA,"No difficulty","Yes",145,0,0,0,61,275,337,590,32,0,0,"Hispanic/Latino","White"
"South","$100,000 to $149,999",4,"Owned by household member","Yes","House, apartment, flat",2,3,2,"Sunday",4655626.989228,36,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",47,826.92,"Spouse present",38,"Female","College degree +","Employed - at work",36,1231.2,"No difficulty","No",160,0,0,0,100,298,192,510,0,180,0,"White","White"
"West","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",7737146.20798,74,"Female","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",72,"Male","College degree +","Employed - at work",24,2884,"No difficulty","No",0,347,0,0,30,95,340,460,168,0,0,"White","White"
"South","$5,000 to $7,499",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Tuesday",30359216.611538,21,"Male","Never married","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,145,15,530,750,0,0,0,"Asian","Other / Mixed"
"Northeast","$60,000 to $74,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Saturday",2621408.860992,85,"Male","Widowed","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,50,30,603,530,7,90,0,"White","Other / Mixed"
"West","$100,000 to $149,999",5,"Owned by household member","Yes","House, apartment, flat",1,9,4,"Monday",38433090.878445,20,"Female","Never married","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,550,90,220,0,580,0,0,0,"White","Other / Mixed"
"South","$100,000 to $149,999",2,"Owned by household member","No","Mobile home w/o room added",0,NA,2,"Monday",6541409.234204,46,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,461.53,"Spouse present",51,"Male","College degree +","Employed - at work",40,625,"No difficulty","No",0,0,0,0,105,75,150,510,0,0,600,"Hispanic/Latino","White"
"South","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Monday",17062060.522493,34,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",50,2884.61,"Spouse present",40,"Female","College degree +","Employed - at work",50,2884.61,"No difficulty","No",0,0,0,0,175,30,120,568,0,0,547,"White","White"
"West","$50,000 to $59,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",13189545.589542,85,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",85,"Male","HS diploma, no college","Retired",NA,NA,"No difficulty","No",0,0,0,0,75,155,650,560,0,0,0,"Asian","Asian"
"Northeast","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",6257227.284462,46,"Female","Married - spouse present","Some college","Employed - at work","No",NA,"Full time",40,1250,"Spouse present",48,"Male","Some college","Employed - at work",40,880,"No difficulty","No",0,0,0,0,130,180,510,480,140,0,0,"White","White"
"Midwest","$60,000 to $74,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",3760129.66012,66,"Male","Divorced","Some college","Employed - at work","No",NA,"Part time",30,425,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,23,0,80,71,240,564,69,0,393,"White","Other / Mixed"
"West","$12,500 to $14,999",4,"Owned by household member","Yes","House, apartment, flat",1,17,3,"Friday",21093167.121397,50,"Female","Married - spouse present","Some college","Employed - at work","No",NA,"Part time",24,369.23,"Spouse present",54,"Male","Some college","Employed - at work",60,2880,"No difficulty","Yes",0,0,3,0,100,119,198,610,65,0,345,"White","White"
"South","$40,000 to $49,999",4,"Owned by household member","Yes","House, apartment, flat",2,13,2,"Sunday",14813540.283794,53,"Male","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",35,440,"Spouse present",52,"Female","HS diploma, no college","Employed - at work",40,520,"No difficulty","No",0,0,0,0,0,0,630,810,0,0,0,"White","White"
"West","$50,000 to $59,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Saturday",3191164.781388,71,"Male","Divorced","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Unmarried partner present",71,"Female","College degree +","Not employed",NA,NA,"No difficulty","No",0,0,0,0,90,120,420,630,0,180,0,"Asian","Asian"
"West","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Monday",10231838.856463,51,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Part time",20,NA,"Spouse present",46,"Female","HS diploma, no college","Employed - at work",60,2884.61,"No difficulty","Yes",0,0,10,0,60,245,365,575,0,0,65,"White","Asian"
"Midwest","$100,000 to $149,999",3,"Owned by household member","Yes","House, apartment, flat",1,0,2,"Thursday",11525415.668088,38,"Female","Married - spouse present","Some college","Employed - at work","No",NA,"Part time",20,961.53,"Spouse present",40,"Male","College degree +","Employed - at work",40,1826.92,"No difficulty","No",825,0,0,0,15,30,90,480,0,0,0,"White","White"
"Midwest","Less than $5,000",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Thursday",11930316.67603,63,"Female","Divorced","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,50,5,665,720,0,0,0,"Black/African American","Other / Mixed"
"South","$30,000 to $34,999",4,"Rented for cash","Yes","House, apartment, flat",2,3,2,"Saturday",18746454.703377,37,"Male","Never married","HS diploma, no college","Employed - at work","No",NA,"Full time",40,600,"Spouse present",24,"Female","HS diploma, no college","Not employed",NA,NA,"No difficulty","No",420,0,0,0,0,90,355,540,35,0,0,"Hispanic/Latino","Hispanic/Latino"
"Midwest","$20,000 to $24,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",4605947.365441,80,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Male","Some college","Retired",NA,NA,"No difficulty","No",0,0,0,0,80,270,540,550,0,0,0,"White","White"
"South","$75,000 to $99,999",2,"Rented for cash","Yes","House, apartment, flat",1,15,1,"Monday",4279873.502232,48,"Female","Never married","Some college","Employed - at work","No",NA,"Full time",40,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,10,0,120,1070,0,0,240,"White","Other / Mixed"
"South","Less than $5,000",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Monday",6459736.49441,71,"Male","Widowed","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,102,0,0,170,420,190,498,0,0,0,"White","Other / Mixed"
"Midwest","$30,000 to $34,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Friday",11755724.311941,33,"Male","Never married","Some college","Employed - at work","No",NA,"Full time",40,790,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,60,0,510,395,0,0,475,"White","Other / Mixed"
"Midwest","$50,000 to $59,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Sunday",4818551.835089,50,"Male","Married - spouse absent","Some college","Employed - absent","No","Illness/injury/medical","Full time",45,1280,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,60,0,0,20,50,325,775,0,135,0,"Black/African American","Other / Mixed"
"West","$150,000 and over",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Saturday",3703444.099056,67,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",67,"Male","Some college","Retired",NA,NA,"No difficulty","No",53,0,5,0,40,245,482,540,55,0,0,"White","White"
"West","$75,000 to $99,999",5,"Owned by household member","Yes","House, apartment, flat",1,11,4,"Friday",29861584.265662,19,"Female","Never married","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,120,0,60,313,240,537,170,0,0,"Black/African American","Other / Mixed"
"South","$30,000 to $34,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Thursday",13500542.937147,42,"Female","Never married","Some college","Employed - at work","No",NA,"Full time",40,576,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,0,0,65,60,260,545,10,0,500,"White","Other / Mixed"
"South","$50,000 to $59,999",2,"Owned by household member","No","Mobile home w/o room added",0,NA,2,"Wednesday",12777861.90425,61,"Male","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",46,530.76,"Spouse present",63,"Female","HS diploma, no college","Employed - at work",30,681.68,"No difficulty","Yes",0,0,0,0,0,20,370,518,0,30,502,"White","White"
"South","$150,000 and over",2,"No cash rent","No","House, apartment, flat",0,NA,2,"Wednesday",11875310.575356,68,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",69,"Male","College degree +","Not employed",NA,NA,"No difficulty","No",0,0,0,0,45,235,560,600,0,0,0,"White","White"
"West","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",9047153.974978,56,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1730.76,"Spouse present",53,"Female","College degree +","Employed - at work",50,1538.46,"No difficulty","No",0,0,0,0,80,0,285,525,0,0,550,"Hispanic/Latino","Hispanic/Latino"
"South","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Thursday",6103013.110563,74,"Female","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",71,"Male","College degree +","Retired",NA,NA,"Has difficulty","No",0,0,0,0,50,35,485,345,525,0,0,"Hispanic/Latino","Hispanic/Latino"
"South","$60,000 to $74,999",4,"Owned by household member","No","House, apartment, flat",0,NA,4,"Wednesday",30079627.025191,18,"Female","Never married","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",150,0,0,630,80,0,0,580,0,0,0,"Asian","Other / Mixed"
"South","$100,000 to $149,999",4,"Owned by household member","No","House, apartment, flat",0,NA,4,"Monday",40572940.661745,55,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",50,2076.92,"Spouse present",54,"Female","College degree +","Employed - at work",55,1826.92,"No difficulty","No",0,0,0,0,45,0,240,570,15,0,570,"Black/African American","Black/African American"
"South","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",6098700.078751,40,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,2884.61,"Spouse present",34,"Female","College degree +","Employed - at work",40,2884.61,"No difficulty","No",0,0,0,0,150,120,480,600,90,0,0,"White","White"
"Northeast","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2034673.977333,71,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",63,"Female","College degree +","Employed - at work",40,1451.92,"No difficulty","No",0,0,0,0,45,210,510,555,60,60,0,"White","White"
"West","$7,500 to $9,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Sunday",3019698.013246,80,"Female","Divorced","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,50,0,180,75,512,570,53,0,0,"White","Other / Mixed"
"West","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",2,8,2,"Wednesday",12796575.594093,41,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1101.6,"Spouse present",43,"Male","College degree +","Employed - at work",40,1096,"No difficulty","Yes",132,0,0,0,20,192,165,445,23,0,463,"Other / Mixed","White"
"West","$30,000 to $34,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Wednesday",7026486.504724,85,"Female","Widowed","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,45,0,645,750,0,0,0,"Hispanic/Latino","Other / Mixed"
"South","$7,500 to $9,999",3,"Rented for cash","Yes","House, apartment, flat",2,14,1,"Thursday",27283715.053594,16,"Female","Never married","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,470,55,0,195,540,0,0,180,"White","Other / Mixed"
"Northeast","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",2463008.590196,61,"Male","Divorced","College degree +","Employed - at work","No",NA,"Full time",40,2019.23,"Unmarried partner present",58,"Female","College degree +","Employed - at work",40,2153.84,"No difficulty","No",0,0,0,0,210,420,150,660,0,0,0,"White","White"
"Midwest","$40,000 to $49,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Sunday",21266760.151703,63,"Male","Married - spouse present","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",63,"Female","Less than HS diploma","Not employed",NA,NA,"No difficulty","No",0,0,0,0,37,25,688,570,0,0,0,"White","White"
"Northeast","$100,000 to $149,999",4,"Owned by household member","Yes","House, apartment, flat",1,5,3,"Thursday",15214269.88665,36,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1057.69,"Spouse present",36,"Female","College degree +","Employed - at work",40,1384.61,"No difficulty","No",20,0,0,0,105,30,200,505,60,0,480,"White","White"
"Northeast","$50,000 to $59,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2646745.294609,68,"Female","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",74,"Male","HS diploma, no college","Not employed",NA,NA,"No difficulty","No",0,0,0,0,40,370,380,650,0,0,0,"White","White"
"Midwest","$150,000 and over",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Tuesday",13217596.08054,49,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Part time",32,1461.53,"Spouse present",51,"Male","HS diploma, no college","Employed - at work",40,1471.15,"No difficulty","Yes",0,0,20,0,30,90,630,670,0,0,0,"White","White"
"South","$50,000 to $59,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2767803.190778,74,"Female","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",79,"Male","College degree +","Not employed",NA,NA,"No difficulty","No",0,0,60,0,50,175,390,465,120,0,0,"White","White"
"West","$150,000 and over",3,"Owned by household member","Yes","House, apartment, flat",1,3,2,"Thursday",14254845.401821,40,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",45,2384.61,"Spouse present",41,"Female","College degree +","Employed - at work",50,2269.23,"Has difficulty","No",15,0,0,0,60,15,60,550,0,120,620,"White","Black/African American"
"South","$40,000 to $49,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Sunday",5936560.088026,21,"Male","Never married","Some college","Employed - at work","No",NA,"Part time",30,600,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,160,90,163,680,0,0,347,"White","Other / Mixed"
"South","$20,000 to $24,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Monday",8542024.422873,85,"Female","Widowed","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,60,30,780,570,0,0,0,"Other / Mixed","Other / Mixed"
"Midwest","$25,000 to $29,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Wednesday",12395674.460619,70,"Female","Divorced","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,120,0,89,374,329,480,48,0,0,"White","Other / Mixed"
"South","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Wednesday",10739477.575412,60,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Part time",10,NA,"Spouse present",62,"Male","College degree +","Employed - at work",20,NA,"No difficulty","Yes",0,0,0,0,300,40,150,620,15,135,120,"White","White"
"Northeast","$15,000 to $19,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Thursday",6851868.90192,80,"Female","Married - spouse absent","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,0,665,430,345,0,0,0,"Black/African American","Other / Mixed"
"South","$15,000 to $19,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",1657528.211085,80,"Female","Never married","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","Yes",0,110,60,0,35,55,305,750,115,10,0,"Black/African American","Other / Mixed"
"Midwest","$60,000 to $74,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",4903594.91761,70,"Male","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",69,"Female","HS diploma, no college","Retired",NA,NA,"No difficulty","No",0,0,0,0,60,735,165,480,0,0,0,"White","White"
"South","$40,000 to $49,999",4,"Owned by household member","Yes","House, apartment, flat",2,1,2,"Sunday",6104908.084361,41,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Part time",25,NA,"Spouse present",42,"Male","Some college","Employed - at work",NA,525,"No difficulty","No",105,0,0,0,90,15,200,765,0,220,0,"Black/African American","Black/African American"
"South","$20,000 to $24,999",6,"Owned by household member","No","House, apartment, flat",0,NA,6,"Monday",64286167.113702,50,"Male","Married - spouse present","Less than HS diploma","Employed - at work","No",NA,"Full time",40,NA,"Spouse present",50,"Female","Less than HS diploma","Not employed",NA,NA,"No difficulty","No",0,0,0,0,100,0,235,600,60,0,445,"Hispanic/Latino","Hispanic/Latino"
"Northeast","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",6816471.599092,73,"Male","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",69,"Female","HS diploma, no college","Not employed",NA,NA,"No difficulty","No",0,0,120,0,60,120,620,520,0,0,0,"White","White"
"South","$60,000 to $74,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Wednesday",13522222.504137,75,"Male","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",68,"Female","HS diploma, no college","Employed - at work",40,882,"No difficulty","No",0,0,0,0,30,120,749,480,61,0,0,"White","White"
"South","$15,000 to $19,999",4,"Rented for cash","Yes","House, apartment, flat",3,2,1,"Sunday",10115561.293489,17,"Female","Never married","Less than HS diploma","Employed - at work","No",NA,"Part time",NA,270,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,0,0,620,820,0,0,0,"Black/African American","Other / Mixed"
"Midwest","$50,000 to $59,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",7744470.93613,75,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",76,"Male","HS diploma, no college","Not employed",NA,NA,"Has difficulty","No",0,0,0,0,140,0,700,390,0,210,0,"White","White"
"South","$30,000 to $34,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2566571.95806,85,"Male","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Female","Some college","Retired",NA,NA,"No difficulty","No",0,0,0,0,115,0,365,720,0,240,0,"White","White"
"Midwest","$15,000 to $19,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Wednesday",12430504.382387,80,"Male","Never married","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,0,105,330,1005,0,0,0,"White","Other / Mixed"
"South","$60,000 to $74,999",3,"Owned by household member","Yes","House, apartment, flat",1,1,2,"Friday",8730750.346627,60,"Male","Married - spouse present","Some college","Employed - at work","No",NA,"Full time",50,760,"Spouse present",48,"Female","HS diploma, no college","Employed - at work",40,276.92,"No difficulty","No",60,0,5,0,49,114,154,421,41,0,596,"Other / Mixed","White"
"Midwest","$25,000 to $29,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Wednesday",14405065.473767,43,"Male","Never married","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,0,0,50,130,450,719,91,0,0,"White","Other / Mixed"
"West","$25,000 to $29,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",4953340.32021,70,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",68,"Male","Some college","Not employed",NA,NA,"No difficulty","Yes",0,95,0,0,85,155,485,590,30,0,0,"White","White"
"Midwest","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",1,17,3,"Sunday",14366711.867995,23,"Female","Never married","College degree +","Employed - at work","No",NA,"Full time",48,840,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,0,0,30,15,130,410,0,0,855,"White","Other / Mixed"
"Northeast","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",9245344.270886,56,"Male","Married - spouse present","Some college","Employed - at work","No",NA,"Full time",40,1760,"Spouse present",56,"Female","College degree +","Employed - at work",50,1538.46,"No difficulty","Yes",0,0,0,0,50,445,340,585,20,0,0,"White","White"
"Northeast","$75,000 to $99,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Sunday",2230340.711775,79,"Female","Divorced","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,100,290,560,490,0,0,0,"White","Other / Mixed"
"South","$100,000 to $149,999",3,"Rented for cash","Yes","House, apartment, flat",1,9,2,"Monday",11096897.029574,47,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",60,NA,"Spouse present",43,"Male","College degree +","Employed - at work",40,2076.92,"No difficulty","No",69,0,0,0,50,20,120,401,0,0,780,"White","White"
"South","$20,000 to $24,999",4,"Rented for cash","No","House, apartment, flat",0,NA,4,"Wednesday",65635192.110653,29,"Male","Never married","Less than HS diploma","Employed - at work","No",NA,"Part time",30,500,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,0,0,35,0,475,540,0,0,330,"Hispanic/Latino","Other / Mixed"
"South","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2456615.142142,67,"Female","Married - spouse present","College degree +","Employed - absent","No","Vacation/personal days","Part time",10,354.5,"Spouse present",80,"Male","Some college","Retired",NA,NA,"No difficulty","Yes",0,0,0,0,100,180,390,680,60,0,30,"Hispanic/Latino","Hispanic/Latino"
"South","$100,000 to $149,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Thursday",8259830.590137,47,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",45,1346.15,"Spouse present",49,"Male","HS diploma, no college","Employed - at work",60,2884.61,"No difficulty","No",0,0,0,0,195,25,30,435,145,0,610,"White","Hispanic/Latino"
"Midwest","$75,000 to $99,999",2,"Owned by household member","Yes","House, apartment, flat",1,12,1,"Wednesday",3980131.947629,52,"Female","Divorced","Some college","Employed - at work","Yes",NA,"Full time",45,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",10,48,0,0,0,30,0,610,0,0,742,"White","Other / Mixed"
"Midwest","$25,000 to $29,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Tuesday",13436206.594976,52,"Male","Divorced","HS diploma, no college","Employed - at work","No",NA,"Full time",40,668,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,42,25,160,555,0,0,500,"White","Other / Mixed"
"South","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",6863318.179153,40,"Male","Married - spouse present","College degree +","Employed - at work","Yes",NA,"Full time",50,1288.46,"Spouse present",51,"Female","Some college","Employed - not at work",NA,1605,"No difficulty","No",0,0,0,0,0,80,675,555,0,0,0,"White","White"
"West","$150,000 and over",5,"Owned by household member","Yes","House, apartment, flat",3,4,2,"Sunday",3418096.233931,41,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1100,"Spouse present",44,"Male","College degree +","Employed - at work",20,1384,"No difficulty","No",0,0,60,0,30,30,102,902,0,256,0,"White","White"
"Northeast","$75,000 to $99,999",4,"Owned by household member","Yes","House, apartment, flat",3,9,1,"Sunday",6957068.845137,17,"Female","Never married","Less than HS diploma","Unemployed - on layoff",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,20,0,240,780,38,0,0,"White","Other / Mixed"
"Midwest","$60,000 to $74,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Monday",17136364.292117,76,"Male","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",72,"Female","College degree +","Retired",NA,NA,"No difficulty","No",0,0,0,0,135,0,855,450,0,0,0,"Black/African American","Black/African American"
"Northeast","$150,000 and over",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Monday",5701034.796764,60,"Female","Never married","College degree +","Employed - at work","No",NA,"Full time",40,2149.6,"Spouse present",59,"Male",NA,"Employed - at work",40,NA,"No difficulty","Yes",0,0,65,0,20,25,95,640,75,0,520,"White","Other / Mixed"
